"String ID","Source text","Translation","Context","Path","Filename"
"174","point zero","komma nul","","SYSTEM","0167.wav"
"175","point one","komma één","","SYSTEM","0168.wav"
"176","point two","komma twee","","SYSTEM","0169.wav"
"177","point three","komma drie","","SYSTEM","0170.wav"
"178","point four","komma vier","","SYSTEM","0171.wav"
"179","point five","komma vijf","","SYSTEM","0172.wav"
"180","point six","komma zes","","SYSTEM","0173.wav"
"181","point seven","komma zeven","","SYSTEM","0174.wav"
"182","point eight","komma acht","","SYSTEM","0175.wav"
"183","point nine","komma negen","","SYSTEM","0176.wav"
"184","trim center","trim in het midden","","SYSTEM","midtrim.wav"
"185","maximum trim reached","maximale trim bereikt","","SYSTEM","maxtrim.wav"
"186","minimum trim reached","minimale trim bereikt","","SYSTEM","mintrim.wav"
"187","timer 1 elapsed","timer één afgelopen","","SYSTEM","timovr1.wav"
"188","timer 2 elapsed","timer twee afgelopen","","SYSTEM","timovr2.wav"
"189","timer 3 elapsed","timer drie afgelopen","","SYSTEM","timovr3.wav"
"190","transmitter battery low","zenderbatterij bijna leeg","","SYSTEM","lowbatt.wav"
"191","inactivity alarm","inactiviteitsalarm","","SYSTEM","inactiv.wav"
"192","throttle warning","gaswaarschuwing","","SYSTEM","thralert.wav"
"193","switch warning","schakelaarwaarschuwing","","SYSTEM","swalert.wav"
"194","bad eeprom","EEPROM fout","","SYSTEM","eebad.wav"
"195","Welcome to EdgeTX","Welkom bij EdgeTX","","SYSTEM","hello.wav"
"196","RF signal low","RF-signaal zwak","","SYSTEM","rssi_org.wav"
"197","RF signal critical","RF-signaal kritiek","","SYSTEM","rssi_red.wav"
"198","radio antenna defective","antenne defect","","SYSTEM","swr_red.wav"
"199","telemetry lost","telemetrie verloren","","SYSTEM","telemko.wav"
"200","telemetry recovered","telemetrie hersteld","","SYSTEM","telemok.wav"
"201","Trainer connected","trainer verbonden","","SYSTEM","trainco.wav"
"202","trainer signal lost","trainersignaal verloren","","SYSTEM","trainko.wav"
"203","trainer signal recovered","trainersignaal hersteld","","SYSTEM","trainok.wav"
"204","sensor lost","sensor verloren","","SYSTEM","sensorko.wav"
"205","servo overload","servo overbelast","","SYSTEM","servoko.wav"
"206","power overload","voeding overbelast","","SYSTEM","rxko.wav"
"207","receiver still connected","ontvanger nog verbonden","","SYSTEM","modelpwr.wav"
"208","armed","armed","","","armed.wav"
"209","disarmed","disarmed","","","disarm.wav"
"210","throttle cut","gas geblokkeerd","","","thrcut.wav"
"211","throttle active","gas actief","","","thract.wav"
"212","gear up","landingsgestel in","plane","","gearup.wav"
"213","gear down","landingsgestel uit","plane","","geardn.wav"
"214","flaps up","flaps in","plane","","flapup.wav"
"215","flaps down","flaps uit","plane","","flapdn.wav"
"216","spoiler up","spoilers uit","","","splrup.wav"
"217","spoiler down","spoilers in","","","splrdn.wav"
"218","trainer on","trainer aan","","","trnon.wav"
"219","trainer off","trainer uit","","","trnoff.wav"
"220","engine off","motor uit","","","engoff.wav"
"221","too high","te hoog","","","tohigh.wav"
"222","too low","te laag","","","tolow.wav"
"223","low battery","batterij bijna leeg","","","lowbat.wav"
"224","crow on","crow aan","","","crowon.wav"
"225","crow off","crow uit","","","crowof.wav"
"226","RF signal low","RF-signaal zwak","rc-link","","siglow.wav"
"227","RF signal critical","RF-signaal kritiek","rc-link","","sigcrt.wav"
"228","LQ","link quality","rc-link","","lq.wav"
"229","RF mode","RF-modus","rc-link","","rfmode.wav"
"230","high speed mode active","hoge snelheid modus actief","rc-link","","spdmod.wav"
"231","thermal mode on","thermiekmodus aan","","","thmmod.wav"
"232","normal mode on","normale modus aan","","","nrmmod.wav"
"233","landing mode on","landingsmodus aan","","","lnding.wav"
"234","acro mode on","acro modus aan","","","acro.wav"
"235","flight mode one","vluchtmodus één","","","fm-1.wav"
"236","flight mode two","vluchtmodus twee","","","fm-2.wav"
"237","flight mode three","vluchtmodus drie","","","fm-3.wav"
"238","flight mode four","vluchtmodus vier","","","fm-4.wav"
"239","flight mode five","vluchtmodus vijf","","","fm-5.wav"
"240","flight mode six","vluchtmodus zes","","","fm-6.wav"
"241","flight mode seven","vluchtmodus zeven","","","fm-7.wav"
"242","flight mode eight","vluchtmodus acht","","","fm-8.wav"
"243","vario on","vario aan","","","vrion.wav"
"244","vario off","vario uit","","","vrioff.wav"
"245","flight mode power","vluchtmodus power","","","fm-pwr.wav"
